"","V1","V2","V3","V4","V5","V6","V7"
"1662661",-1.52075296560775,-0.0967012304673578,-0.0934332720161365,-0.0871762542579177,-0.0602808011872657,-0.0534960075181647,1.91184053105459
"1603567",-1.33487778390868,-0.159106079553896,-0.155544833153011,-0.148726269727455,-0.119417042918819,-0.112023337522777,2.02969534678463
"1663081",-1.3197873003643,-0.163888535833683,-0.160306128568289,-0.153447049356811,-0.123963667629493,-0.11652602896389,2.03791871071647
"1662896",-1.25533452219842,-0.183885344266131,-0.18021656534041,-0.173192114071564,-0.142997889482675,-0.135380929720147,2.07100736507935
"1408988",-0.51004804156348,-0.37492111994089,-0.370628713532799,-0.362410229876471,-0.327083521525621,-0.3181718134187,2.26326343985796
"1231888",-0.62938196162191,-0.348582911379051,-0.344350693986465,-0.336247451617468,-0.301416101719317,-0.29262935543717,2.25260847576138
"1663119",-1.07714670632304,-0.235854549045828,-0.231977918109328,-0.224555501645411,-0.192650645148258,-0.184602152051421,2.14678747232329
"1663032",-1.01184771829688,-0.253791436077681,-0.24984897447012,-0.242300514886617,-0.209853868843919,-0.20166870096161,2.16931121353683
"1663096",-1.01097045991948,-0.254028631083743,-0.250085320332778,-0.242535234931374,-0.210081600398191,-0.20189466956116,2.16959591622672
"1639420",-0.730260161657881,-0.325170138878208,-0.320999515242167,-0.31301420375701,-0.278689773396958,-0.270030905402037,2.23816469833426
"1663118",-0.782227492898552,-0.312682559641534,-0.308547646465879,-0.300630708244374,-0.266600176667245,-0.258015449182115,2.2287040330997
"1662830",-0.839318949366543,-0.298617743620572,-0.294525290503097,-0.28668964870626,-0.253008565422059,-0.244511991669061,2.21667218928759
"1665271",-1.67908930588749,-0.0418835718508438,-0.038126460937731,-0.0309328842586401,-1.16832234515846e-05,0.00778866758207063,1.78225523857608
"1604567",-1.49665781847603,-0.110169795646109,-0.105970319282725,-0.0979297647367832,-0.063367875062053,-0.0546491042853988,1.9287446774891
"1666511",-1.48124383964573,-0.115570807022393,-0.111338259030866,-0.103234383678473,-0.0684003129353588,-0.0596128802780228,1.93940048259084
"1666141",-1.4144191385938,-0.138411329894733,-0.134042116072902,-0.125676572605716,-0.0897177355963973,-0.0806465632667041,1.98291345603025
"1666549",-1.22164769047036,-0.199659690063048,-0.194950421986744,-0.185933791444628,-0.147176291790363,-0.137399113559021,2.08676699931416
"1624581",-1.93955750760682,0.0657157387806235,0.0703175025303751,0.079128299219226,0.117001033166445,0.126555015575354,1.4808399183348
"1666462",-1.14822401117182,-0.221396335887406,-0.216576136368793,-0.207347110224092,-0.167676639537544,-0.157669150254605,2.11888938344426
"1666526",-1.14722802546052,-0.221685690479752,-0.216864050426359,-0.207632266152438,-0.167949939796322,-0.157939459737521,2.11929943205291
