"","chisq","mean","sd","skew","kurt","peak_x","peak_y"
"1662661",846.700880699465,-1.58666211679676e-17,1,0.624356291860291,3.63781873101986,-0.0570881716165588,7.74452360904379
"1603567",789.544411022067,2.18040801188067e-17,1,1.07451666139564,3.91783469939513,-0.121869933678504,7.74782308918685
"1663081",784.861262720606,4.36381694048876e-17,1,1.10698754458869,3.94424781232184,-0.164488548829863,8.74116965636536
"1662896",771.764577868879,3.96275894043452e-17,1,1.23886378789844,4.06064868882127,-0.166060688415227,9.22741464680325
"1408988",764.070187474993,0,1,2.02381839323023,5.13019034467837,-0.347543864235566,7.49843725748187
"1231888",752.4419883118,3.96430780068093e-17,1,1.98154539127844,5.04818015475766,-0.31377784343057,7.11959965690395
"1663119",748.154034712996,0,1,1.54705540265582,4.39392397528734,-0.235660319438872,8.22497810561393
"1663032",743.903824511751,-7.92435623568423e-18,1,1.6398087681403,4.51284656407677,-0.234878182286458,8.55361383287023
"1663096",743.433015330073,3.1718721771125e-17,1,1.64098300147908,4.51441319370773,-0.234158079053157,8.49582636223019
"1639420",742.667219060857,1.58680732244486e-17,1,1.92314639940348,4.94297880687185,-0.304487748401033,8.05065850139241
"1663118",742.345480140577,-2.37750047823607e-17,1,1.88452261335197,4.877243956205,-0.299432811050447,8.40073255504203
"1662830",740.60212461054,-1.58758175256806e-17,1,1.83514793466228,4.79694003828727,-0.297635823338745,7.89351819655526
"1665271",722.816327413738,-5.37603513819074e-17,1,0.166902924675921,3.50747064879254,-0.0336837781464714,9.15877108169361
"1604567",648.28357366163,-3.66983074633263e-17,1,0.687438042742882,3.6665880290069,-0.0946955258599569,8.21580663707318
"1666511",644.46345574705,-2.28050310530478e-17,1,0.727299107919278,3.68699053167373,-0.081337344926081,7.15935553933159
"1666141",626.696033300871,-2.77555756156289e-17,1,0.892678055501065,3.78458311552752,-0.136790760736663,7.43605916328669
"1666549",590.267234389127,-4.75964753721136e-17,1,1.30267114674326,4.12122895106416,-0.198781031043492,6.84691376248679
"1624581",586.044093553624,2.3823406665061e-17,1,-0.728060654913208,3.68686989334465,0.0820636129847543,7.48604411278362
"1666462",581.386821403349,2.37943655354408e-17,1,1.43310106386817,4.25899887950512,-0.19341465388472,6.80430502974453
"1666526",580.787494077621,0,1,1.43477466488011,4.26087112044623,-0.192604497557486,6.75223866537627
